Fine-tuning t5-large...
Step: 100, Loss: 0.3200
Step: 200, Loss: 0.2356
Step: 300, Loss: 0.1709
Step: 400, Loss: 0.1326
Step: 500, Loss: 0.1085
Step: 600, Loss: 0.0918
Step: 700, Loss: 0.0796
Step: 800, Loss: 0.0704
Step: 900, Loss: 0.0633
Step: 1000, Loss: 0.0576
Step: 1100, Loss: 0.0528
Step: 1200, Loss: 0.0488
Step: 1300, Loss: 0.0454
Step: 1400, Loss: 0.0425
Step: 1500, Loss: 0.0400
Epoch 1/10, Train Loss: 0.0388
---val test in answer status---
authoritarian | ignore
fairgrounds | fairgrounds
petting zoo | petting zoo
deny | deny
auditioning | listening to music
wanting more | being happy
locked | closed
magazine | store
skate | play piano
hockey game | hockey game
hospital bed | hospital bed
produce eggs | cross road
cure | cure
bookstore | train station
foot | foot
grill | bring home fish
wall | wall
television | movies
card catalogue | card catalogue
beast | beast
cabinet | shelf
grocery store | grocery store
airport | london
stairs | elevator
footloose | fast
mail box | mail box
erections | erections
winning or losing | winning or losing
skyscraper | skyscraper
spacecraft | villa
hawaiian waters | south pacific ocean
mexico | mexico
patent | think
movies | movies
wristwatch | wristwatch
sweating | feeling refreshed
lose money | children suffer
radio station | radio station
neighbor's house | neighbor's house
compliments | equal opportunity
stationery store | desk drawer
cooking pot | beach sand
pantry | pantry
space shuttle | space shuttle
food | food
control children | control children
bank at noon | bus stop
internet sites | internet sites
dealing | count
back pocket | back pocket
responsibility | evaluating
anger | anger
pet store | pet store
concern | education
slept | take center stage
hardware store | sporting goods store
work hard | slow down
boredom | entertainment
trunk | car trunk
read | read
graduate | graduate
pain | pain
sailing vessel | sailing vessel
under bed | music room
front porch | front porch
give speeches | complete sentences
honey | buzz
sweating | feel more comfortable
atlantic ocean | atlantic ocean
satisfaction | gratitude
amusement | having fun
accidents | driving
wear shoes | wear shoes
somber | somber
school | room
idaho | idaho
penguin's bum | plane
research laboratory | research laboratory
football ground | corner
basement | basement
root cellar | pantry
illiterate | illiterate
book | newspaper
heat up | heat up
perfume | perfume
passing grade | passing grade
heat lamps | rocks
own bathroom | medicine chest
try to learn | try to learn
meeting | meeting
building | ground
show appreciation | show appreciation
dream | might dream
conjunction | conjunction
knowingly | knowingly
change yourself | change yourself
new hampshire | new hampshire
medicine cabinet | medicine cabinet
blisters | blisters
soft drink | soft drink
entertain | entertain
plantation | plantation
binder | binder
bookstore | bookstore
zoological gardens | zoological gardens
dangerous | dangerous
judge | judge
three arm span | three feet
new experiences | new experiences
dissipate | dissipate
fort knox | fort knox
care for children | care for children
hockey | hockey game
shopping center | shopping center
wires | wires
wrong house | wrong house
control | control
get news | get news
cupboard | cupboard
united states | countryside
stage | party
england | england
weird | kind
economic instability | economic instability
gas | have fun
great granddad's house | brother's house
giving homework | open boxes
fast food restaurant | fast food restaurant
magazines | magazines
small talk | small talk
need for rest | need for rest
medicine | medicine
lose money | save money
regular | regular
work in life | work in life
mouth | mouth
pocket | pocket
chicken | chicken
hurt feelings | going to court
factory | factory
bedroom | bedroom
soup | soup
animal shelter | animal shelter
boredom | relaxation
overspending | staying there
poker game | poker game
drugstore | drugstore
clothing store | clothing store
dairy farm | countryside
coral reef | open ocean
shopping malls | shopping malls
legal fees | legal fees
fruit cocktail | fruit cocktail
body armor | ungulate
university | library
military base | populated area
run longer | tie shoelace
residential | residential neighborhood
die of starvation | die of starvation
dinner | dinner
math book | math book
birds | butterflies
blush | avoid eye contact
the ground | night sky
write | create art
row boat | row boat
act | singing
fatigue | anger
swimming pool | swimming pool
spend money | spend money
do work | do work
flea market | flea market
ship's hold | airplane
solar system | solar system
milk cow | step forward
space shuttle | space shuttle
socialize | socialize
run programs | power down
every car and house | shop
correct | acute angled
intelligence | intelligence
selling out | selling out
ouch | awesome
authentic | authentic
filing cabinet | filing cabinet
cemetary | cemetary
going to jail | going to jail
neat | neat
doctor himself | doctor himself
being ridiculed | more funding
his feet | surface of earth
walking out of | walking out of
curry | curry
department store | house
grocery store | grocery store
good things in life | relaxation
lead pencil | card game
drugstore | drugstore
wedding party | wedding party
wall | table
fast food restaurant | fast food restaurant
naked | naked
restlessness | restlessness
building | office
attic | basement
agony | agony
gettysburg address | state of union
cabinet | own home
edge | edge
park | california
grief | isolation
marriage | marriage
surface of earth | surface of earth
popularity | popularity
talent | talent
theater | theater
board ship | feel happy
shelf | shelf
dirty dishes | dirty dishes
theater | theater
toy store | small case
gift buyer | generous
chain | piano
school together | school together
greedy | have knowledge
say goodbye | say goodbye
have legs | have legs
spinning wheel | spinning wheel
office | table
candy store | candy store
intoxicating | harmful
hotel | hotel
the ocean | body of water
big city | big city
landscape | landscape
watch film | watch film
lake | lake
create music | sadness
learn from each other | learn from each other
zoo | zoo
bathroom | bathroom
bottom out | appear suddenly
accomplish | accomplish
direct traffic | wave on
surface of earth | train station
fast food restaurant | fast food restaurant
pass sentence | pass sentence
home depot | house
library | health department
sit down | sit down
earth | earth
ignorance | ignorance
cow | cow
third world country | hospital
body of water | body of water
body armor | body armor
populated area | populated area
hotel | motel
orchestra | orchestra
exchange | exchange
charming | charming
maps | maps
kitchen | wine press
nightmares | inspiration
spreadsheet | spreadsheet
state park | fairgrounds
getting bored | getting bored
office | office
conquer opponent | conquer opponent
unnecessary | unnecessary
airport | laundry room
police station | police station
bible | bible
furniture store | study
surface of earth | humidifier
high walls | doors and windows
one | two ears
museum | concert hall
frustration | frustration
pay bills | appear beautiful
airport | airport
frequent | frequent
losing weight | losing weight
fight enemy | urinate
look attractive | look attractive
knowing more | growth
blowing hard | blowing hard
annoy people around | enjoy
lake superior | lake superior
place of work | desk
desk | table
cupboard | cupboard
problems | problems
start to fall | wet ground
similarity | sum
create success | reproduce
garage | utility room
health | health
linen closet | linen closet
record store | record store
play piano | play piano
bought a book | learn to read
carry people | carry people
office supply store | office supply store
floor | floor
nome | tromsø
office supply store | office supply store
airport | airport
supermarket | chemistry lab
walking | walking
hands | hands
gym | gym
face each other | group together
eat grass | eat grass
water fountain | bus stop
bamboo grove | bamboo grove
opening one up | read book
feel sorry | feel sorry
garden of eden | garden of eden
candy bar | candy bar
hotels | office building
moving body | rhythmic movement
toy store | hall
listen carefully | listen carefully
school | school
pay bills | pay bills
junk yard | junk yard
honest | honest
sea world | sea world
boredom | less confusion
shopping mall | school
lift up | holding
fabric store | fabric store
city centre | city centre
small group | small group
cupboard | cupboard
egg carton | egg carton
purse | desk drawer
hang in closet | air out
exhilaration | exhilaration
petrify | petrify
thrift store | toy store
distress | distress
parents | school children
tighten | bound
mix | with people
hear crowd go mad | hear crowd go mad
gathhering of information | exchange of ideas
selfishness | cleanliness
australia | retail store
museum exhibit | museum of natural history
refrigerator | jar
sit | sit
lake | pond
shake hands | nodding
mouth | mouth
tomb | tomb
trunk | trunk
united states | united states
strain | strain
good karma | good karma
errors | errors
relax | relax
large room | large room
architect | architect
manhattan | coastal area
question authority | sail boats
shopping mall | shopping mall
home depot | home depot
eyes opening | eyes opening
problems | pleasure
transistor | transistor
bite | bite
complications | complications
better job | better job
zoo | zoo
make payments | make payments
shower stall | old cheese
garden of eden | new mexico
basement | bar
friend's house | friend's house
wine | coffee
fitness centre | health club
work hard | work hard
known person | known person
study engineering | study engineering
bookstore | subway
garden shed | utility closet
low pay | become tired
great outdoors | warm climate
getting drunk | drink too much
children | children
fear | fear
walk | walk
coffee shop | diner
exhilaration | reviving
stationery store | classroom
options | meeting
bathroom | bathroom
flowers | flowers
post office | table
beach | eye
market | pizza
smiling | smiling
dinner | dinner
shake hands | shake hands
rude | well fed
despair | regret
work in school | work in school
office | office
time | searching for
fishing rod | fishing rod
fence post | sword
television | television
internet cafe | internet cafe
garage | garage
not tall | punctured
side of road | fast lane
watching tv | watching tv
floor | nature
read a book | enter school
grocery store | restaurant
headache | increased knowledge
civilization | civilization
run away | run away
hotel | swimming pool
battleship | military
cremated | murdered
bowl | bowl
better day | bad breath
meditate | meditate
aquarium | coral reef
wage war | wage war
employability | employability
they were the characters | pretend
share food | share food
losing money | losing money
talk to himself | continue learning
math class | geometry
space shuttle | space shuttle
demonstration | demonstration
every state | most cities
foreign | foreign
schoolyard | schoolyard
process information | become sensible
feet | feet
kitchen drawer | kitchen drawer
africa | winter
wall | wall
airport | airport
bad news | funny
serve | serve
excitement | excitement
kitchen cabinet | kitchen cabinet
conversation | conversation
apartment | apartment
street | garage
experiment | experiment
die | falling asleep
a mortuary | cabinet
bring rain | bring rain
neighbor's house | neighbor's house
cool off | destroy enemy
farmers market | grocery store
comparison shopping | comparison shopping
sunset | daytime
cramped | loose
talk | talk
lecture hall | conference
very dense | very heavy
movie theatre | movie theatre
going to court | going to court
end of line | end of line
to get a sexy tan | warm place
bleeding | bleeding
hardware store | store room
carry people | cross river
preschool | preschool
office | phonebook
dangerous | dangerous
good looking | competitive
map | map
fall down | cast shadow
fork | fork
memorize | learn
arthritis | making music
pornography | pornography
phone book | town
museum | tomb
fainting | fainting
fish market | tidepools
show | demonstration
bloodshot eyes | bloodshot eyes
cupboard | cupboard
london | art museum
bowling alley | bowling alley
library | library
crawl | crawl
book store | suitcase
need for rest | wild ride
head | arm
pass water | pass water
orchard | orchard
entertaining | getting paid for
skyscraper | apartment building
exceptional | worthy
theater | theater
tell time | tell time
opening | opening
work in teams | work in teams
doorway | doorway
rest area | bus stop
hard | firm
alone | alone
spend money | spend money
mall | mall
office | office
sweating | sweating
have fun | have fun
theatre | theatre
school | sporting goods store
new jersey | new jersey
chinatown | chinatown
urban area | urban area
shopping mall | shopping mall
lobby | lobby
large | large
direct sunlight | direct sunlight
ocean | ocean
dentist office | grocery store
euphoria | euphoria
resort | country club
road | road
pocket | pocket
newspaper | books
general store | bed
employee | employee
sexual attraction | sexual attraction
orbit | orbit
old person | old man
relief | relief
farmland | farmland
jazz band | music store
theatre | conference
motorboat | motorboat
written material | written material
email | email
sun set | sun set
bouquet of flowers | bouquet of flowers
929
0.5748116254036598
val acc:0.5748116254036598
saving to  ./tmp/generate_model/t5large/WOCOT/t5large_0
Step: 100, Loss: 0.0042
Step: 200, Loss: 0.0042
Step: 300, Loss: 0.0041
Step: 400, Loss: 0.0040
Step: 500, Loss: 0.0039
Step: 600, Loss: 0.0039
Step: 700, Loss: 0.0039
Step: 800, Loss: 0.0038
Step: 900, Loss: 0.0038
Step: 1000, Loss: 0.0038
Step: 1100, Loss: 0.0038
Step: 1200, Loss: 0.0037
Step: 1300, Loss: 0.0037
Step: 1400, Loss: 0.0037
Step: 1500, Loss: 0.0037
Epoch 2/10, Train Loss: 0.0036
---val test in answer status---
authoritarian | ignore
the desert | populated areas
atlas | atlas
storybook | natural habitat
television | television
airport | airport
fridge | refrigerator
inkwell | blotter
mall | business sector
fruit basket | grocery cart
harder | bitterness
rest area | garden
loss of heat | loss of heat
living room | kitchen
barbeque | barbeque
food court | food court
computer network | computer network
being found out | being found out
take money | take money
pet shops | pet shops
jail time | law suit
television | television
subdivision | subdivision
make breakfast | light fire
crumpled | saturated with water
beach | beach
government | government
headache | headache
wildlife refuge | wildlife refuge
paying | paying
illegal | dangerous
illness | stomach ache
social bonding | social bonding
disneyland | street
california | california
finish line | healthy body
proximity | proximity
late for work | late for work
demonstration | demonstration
water fountain | military base
feel safe | feel safe
headaches | frustration
apply for job | apply for job
headache | headache
lake or river | millpond
commit murder | reach tentative agreement
under rocks | under rocks
boredom | get smart
tennessee | tennessee
heal | heal
cloud judgment | feel good
sporting event | sporting event
owner | subordinate
answer | respond
library | mall
web page | web page
skill | skill
surprise | circus
gain weight | gain weight
being bored | being bored
construction site | construction site
progress | progress
playing dead | fun
store | store
desire | desire
satisfaction | satisfaction
freezer | freezer
band | symphony
violence | violence
reality | reality
parking lot | parking lot
trouble | trouble
meat | finger
boredom | stress
office | office
present bill | present bill
sorrowful | depressed
wakefulness | wakefulness
field of flowers | field of flowers
closet | closet
marriage | being married
carried by people | fly
hands | hands
suicide | suicide
missing out | missing out
friend's house | friend's house
pub | pub
refrigerator | refrigerator
france | france
itches | feel pressure
end of line | end of line
handsomeness | neatness
united states | united states
tools | have tools
launch pad | aircraft carrier
purse | burlap sack
ground | bridge
applaud | applaud
math problem | math problem
supermarket | supermarket
sit | meet
knowledgable | knowledgable
locked up | prison
outside | outside
mail box | front door
alone | solitude
optical illusion | sights
terrible | horrible
school grade | school grade
work | work
improved health | improved health
nailed | nailed
england | grassy field
economic instability | not noticeable
house | hospital
music class | music class
plan to marry | plan to marry
happiness | happiness
break easily | break easily
ticket | ticket
city block | city block
orchestra | high school band
winners and losers | winners and losers
insubstantial | insubstantial
lack of money | lack of money
have fun | have fun
suburban home | suburban home
graph | graph
family room | family room
desk | desk
to fill their time | learning about
see things differently | see things differently
disorientation | disorientation
cars | street corner
rest stops | american city
airport | city
closer | closer
music shop | music shop
insulting them | wave goodbye
prepare food | cook dinner
feel angry | feel angry
think creatively | think creatively
getting good grades | getting good grades
fragile | fragile
your spine | engine
own cars | own cars
brown hair | names
pond | pond
left foot | wedding
intimacy | communicating with others
barber shop | hair salon
players | players
learn | learn
wasted time | wasted time
outside | outside
feelings | feelings
inaccurate | inaccurate
have lunch | have lunch
gaining knowledge | gaining knowledge
electric locomotive | electric refrigerator
home | home
bike | car
speak spanish | stand upright
movie | movie
race track | race track
office depot | office depot
carved | polished
laughter | embarrassment
vegetable | vegetable
mississippi | mississippi
recording studio | recording studio
cause death | cause death
companionable | attached
saving money | sitting down
rare | rare
isolation | grief
helpless | insignificant
canada | canada
pass time | pass time
time | patience
attractive appearance | attractive appearance
go on vacation | go on vacation
smooth skin | smooth skin
dress himself | dress himself
farmer's market | woods
shelf | shelf
death | death
dairy farm | dairy farm
play tag | play tag
pleasure | pleasure
shopping mall | big city
toy store | toy store
fire | fire
piggy bank | piggy bank
menu | menu
audience | classroom
battlefield | battlefield
family room | family room
getting tired | getting tired
liquidated | liquidated
soccer | soccer game
front door | front door
street corner | bus stop
having money | making money
violin case | symphony orchestra
washing machine | washing machine
hospital | business meeting
examine thing | read book
amusement | happiness
prison | neighbor's house
denmark | netherlands
castle | throne room
soccer field | street
dance | getting drunk
larger house | larger house
rejection | rejection
easy | clear
mail orders | mail orders
good health | good health
serving dish | table setting
sheet music | sheet music
exercise | tennis elbow
amusement park | amusement park
infect | infect
bakery | bakery
synagogue | synagogue
battle field | battle field
intelligent | intelligent
condition heart | expend energy
plain | plain
high school | container
castle | chess board
rock climb | swim
criticism | criticism
mexico | kitchen
debate | argument
fail to work | answering questions
frustration | being annoyed
river | great outdoors
front door | front door
agressive | cruel
soccer game | baseball stadium
feel better | illness
irritation | irritation
sun himself | sun himself
big house | big house
presents | birth
beer | being understood
play sports | play sports
dream dreams | drink coffee
city | city
being mean | being mean
hoverboard | space shuttle
flower garden | botanic garden
attic | desk
food poisoning | food poisoning
startled | shocked
heretical | heretical
hyperventilate | breathe deeply
health center | health center
south | earth
apartment | apartment
cliff | gorge
listen to music | listen to music
prepare for going | prepare to go
satisfaction | satisfaction
music store | music store
military installation | space center
building | building
avoid problems | unhappy
sparse | slender
blisters | blisters
exercise | think
crossword puzzle | do crossword puzzle
jigsaw puzzle | puzzle box
wildlife refuge | toy store
eat corn | eat corn
feeling of guilt | feeling of guilt
repair shop | parking garage
blacksmith's shop | blacksmith's shop
dangerous | dangerous
train station | train station
injury | injury
friends | own family
necklace | motorcycle
shelf | table
engage | engage
motel room | motel room
compete with each other | compete with each other
modern house | modern house
water cooler | water cooler
backpack | backpack
home team | at home
high school or college | old people's home
melting | melting
french | chinese food
beach | florida
huge | tall
get laid | get laid
smoke | may laugh
lose weight | lose weight
face south | winter storm
main office | center
hardware store | supermarket
dull read | anthology
go back to work | get food
jump | jump
surf net | surf net
for or | being for
frustration | blisters
disparagement | disparagement
procrastination | procrastination
time consuming | time consuming
see favorite show | see favorite show
cash in | cash in
make love | make love
bookstore | shopping mall
contaminated | contaminated
let blood | let blood
welcome change | welcome change
time | money
score points | score points
fatigue | fatigue
dedication | dedication
reproduce | hear sounds
learning | learning
wash dishes | wash dishes
warehouse | warehouse
roof | floor
from the sky | map
depression | heart attacks
cinema | in cinema
bookstore | train station
seed crops | seed crops
party | party
pool hall | pool hall
cash register | cash register
attic | attic
birthday party | birthday party
grocery bag | grocery bag
playroom | playroom
painting | painting
house | surface of earth
brave | fearless
enjoyment | happiness
supermarket | hair salon
artist's studio | artist's studio
breaks to help stop | breaks to help stop
carpenter's shop | carpenter's shop
injuries | injuries
orchestra | orchestra
see light | see light
backyard | backyard
resthold | in motion
hello | meow
atlas | atlas
outside | outside
rain forest | rain forest
market | san francisco
hat rack | hat rack
rest area | rest area
kill bill | settle everything
human being | human being
beach | seaside town
talking nonsense | talking nonsense
imprevist | new
die | die
bored | deafness
drug store | drug store
gain wealth | eat plants
musical | musical
being happy | glee
computer science | computer science
have sex | have sex
revolution | revolution
coke clear | original
tree tops | tree tops
fraternity house | building
air | oxygen
antipathy | antipathy
port | port
fairgrounds | fairgrounds
petting zoo | petting zoo
deny | deny
auditioning | listening to music
wanting more | being happy
locked | closed
magazine | store
play piano | play piano
hockey game | hockey game
hospital bed | hospital bed
produce eggs | cross road
cure | cure
bookstore | train station
foot | foot
grill | bring home fish
wall | wall
television | movies
inside the book | card catalogue
beast | beast
cabinet | shelf
grocery store | grocery store
city | london
stairs | elevator
footloose | fast
mail box | mail box
erections | erections
winning or losing | winning or losing
skyscraper | skyscraper
spacecraft | villa
hawaiian waters | south pacific ocean
mexico | mexico
patent | think
movies | movies
mobile phone | wristwatch
sweating | feeling refreshed
children suffer | children suffer
radio station | radio station
neighbor's house | neighbor's house
compliments | equal opportunity
stationery store | desk drawer
cooking pot | beach sand
pantry | pantry
space shuttle | space shuttle
food | food
vent anger | control children
post office | bus stop
internet sites | internet sites
dealing | count
back pocket | back pocket
responsibility | evaluating
anger | anger
pet store | pet store
concern | education
take center stage | take center stage
hardware store | sporting goods store
work hard | slow down
entertainment | entertainment
trunk | car trunk
read | read
graduate | graduate
pain | pain
sailing vessel | sailing vessel
music room | music room
front porch | front porch
give speeches | complete sentences
honey | buzz
sweating | feel more comfortable
atlantic ocean | atlantic ocean
satisfaction | gratitude
having fun | having fun
accidents | driving
wear shoes | wear shoes
somber | somber
room | room
idaho | idaho
plane | plane
research laboratory | research laboratory
football ground | corner
basement | basement
root cellar | pantry
illiterate | illiterate
book | newspaper
heat up | heat up
perfume | perfume
passing grade | passing grade
heat lamps | rocks
own bathroom | medicine chest
try to learn | try to learn
meeting | meeting
building | ground
show appreciation | show appreciation
dream | might dream
conjunction | conjunction
expected | knowingly
change yourself | change yourself
new hampshire | new hampshire
medicine cabinet | medicine cabinet
blisters | blisters
soft drink | soft drink
entertain | entertain
plantation | plantation
binder | binder
bookstore | bookstore
zoological gardens | zoological gardens
dangerous | dangerous
judge | judge
three arm span | three feet
new experiences | new experiences
penultimate | dissipate
fort knox | fort knox
care for children | care for children
hockey | hockey game
shopping center | shopping center
wires | wires
wrong house | wrong house
control | control
get news | get news
cupboard | cupboard
united states | countryside
stage | party
england | england
kind | kind
economic instability | economic instability
gas | have fun
great granddad's house | brother's house
giving homework | open boxes
fast food restaurant | fast food restaurant
magazines | magazines
small talk | small talk
need for rest | need for rest
medicine | medicine
lose money | save money
regular | regular
work in life | work in life
mouth | mouth
pocket | pocket
chicken | chicken
hurt feelings | going to court
factory | factory
bedroom | bedroom
soup | soup
animal shelter | animal shelter
boredom | relaxation
moving there | staying there
poker game | poker game
drugstore | drugstore
clothing store | clothing store
dairy farm | countryside
coral reef | open ocean
shopping malls | shopping malls
legal fees | legal fees
fruit cocktail | fruit cocktail
bomber | ungulate
university | library
military base | populated area
run longer | tie shoelace
residential neighborhood | residential neighborhood
die of starvation | die of starvation
dinner | dinner
math book | math book
birds | butterflies
blush | avoid eye contact
the ground | night sky
write | create art
row boat | row boat
act | singing
fatigue | anger
theatre | swimming pool
spend money | spend money
do work | do work
flea market | flea market
train | airplane
solar system | solar system
milk cow | step forward
space shuttle | space shuttle
socialize | socialize
run programs | power down
shop | shop
correct | acute angled
intelligence | intelligence
getting paid | selling out
awesome | awesome
authentic | authentic
filing cabinet | filing cabinet
archeological site | cemetary
going to jail | going to jail
neat | neat
doctor himself | doctor himself
being ridiculed | more funding
his feet | surface of earth
walking out of | walking out of
curry | curry
office building | house
grocery store | grocery store
relaxation | relaxation
lead pencil | card game
drugstore | drugstore
wedding party | wedding party
table | table
fast food restaurant | fast food restaurant
naked | naked
restlessness | restlessness
office | office
bar | basement
agony | agony
gettysburg address | state of union
cabinet | own home
edge | edge
park | california
grief | isolation
marriage | marriage
beach | surface of earth
popularity | popularity
talent | talent
theater | theater
shout at | feel happy
shelf | shelf
dirty dishes | dirty dishes
theater | theater
toy store | small case
gift buyer | generous
chain | piano
school together | school together
boss | have knowledge
